mosaic ID,Genus/Species,Morphology
1,Acropora (branching),Branching
2,Acropora (corymbose),Corymbose
3,Acropora (plating),Tabular
4,Astreopora myriophthalma,Sub_massive
5,Clavularia,Fleshy_invert
6,Corallimorph,Corallimorph
7,Cryptodendrum adhaesivum,Soft
8,Dictyosphaeria,Encrusting_macroalgae
9,Favia matthai,Massive
10,Favia stelligera,Sub_massive
11,Favites (encrusting),Encrusting
12,Favites (submassive),Sub_massive
13,Fungia,Free_living
14,Fungia (multiple polyp),Free_living
15,Goniastrea pectinata,Sub_massive
16,Halimeda,Erect_macroalgae
17,Halomitra pileus,Free_living
18,Herpolitha,Free_living
19,Hydnophora exesa,Plating
20,Hydnophora microconos,Massive
21,Leptastrea,Encrusting
22,Leptoseris,Encrusting
23,Lobophyllia,Massive
24,Montastrea curta,Massive
25,Montipora (encrusting),Encrusting
26,Montipora (plating),Plating
27,Other,Unknown
28,Pasmmocora,Encrusting
29,Pavona (submassive),Sub_massive
30,Pavona varians,Encrusting
31,Platygyra,Massive
32,Pocillopora,Corymbose
33,Pocillopora eydouxi,Corymbose
34,Porites (massive),Massive
35,Porites rus,Massive
36,Porites superfusa,Encrusting
37,Sandalolitha dentata,Free_living
38,Soft coral,Soft
39,Stylophora pistillata,Corymbose
40,Turbinaria reniformis,Plating
41,Unknown,Unknown
42,Unknown (encrusting),Encrusting
43,Unknown (massive),Massive
44,Unknown (submassive),Sub_massive
45,Zooanthid,Fleshy_invert
0,Unidentified,Unidentified
